label,"Total Population"
2020,125836021
2019,126264931
2018,126529100
2017,126785797
2016,126994511
2015,127141000
2014,127276000
2013,127445000
2012,127629000
2011,127833000
2010,128070000
2009,128047000
2008,128063000
2007,128001000
2006,127854000
2005,127773000
2004,127761000
2003,127718000
2002,127445000
2001,127149000
2000,126843000
1999,126631000
1998,126400000
1997,126057000
1996,125757000
1995,125472000
1994,125178000
1993,124829000
1992,124425000
1991,123964000
1990,123478000
1989,123069000
1988,122578000
1987,122069000
1986,121482000
1985,120837000
1984,120083000
1983,119307000
1982,118480000
1981,117661000
1980,116807000
1979,115890000
1978,114913000
1977,113872000
1976,112775000
1975,111573000
1974,110162000
1973,108707000
1972,107188000
1971,105697000
1970,103403000
1969,102219000
1968,101011000
1967,99879000
1966,98851000
1965,97952000
1964,96903000
1963,95900000
1962,94933000
1961,94055000
1960,93216000
