Census_Year,Population
1610,350
1620,2302
1630,4646
1640,26634
1650,50368
1660,75058
1670,111935
1680,151507
1690,210372
1700,250888
1710,331711
1720,466185
1730,629445
1740,905563
1750,1170760
1760,1593625
1770,2148076
1780,2780369
1790,3929214
1800,5308483
1810,7239881
1820,9638453
1830,12866020
1840,17069453
1850,23191876
1860,31443321
1870,38558371
1880,50189209
1890,62979766
1900,76212168
1910,92228496
1920,106021537
1930,123202624
1940,132164569
1950,151325798
1960,179323175
1970,203211926
1980,226545805
1990,248709873
2000,281421906
2010,308745538
2020,331449281
